id,title,publish_utc,sports_name,user_name,likes,views
1,Greatest Premier League strikers of the 90s,2018-11-29 11:07:02,Football,Devang Prasad,0,758
2,Greatest Cricket Legends of all time,2018-11-29 11:49:04,Cricket,Rishabh Tiwari,0,201
3,Eight of the greatest NBA Players of all time,2018-11-29 18:21:18,Basketball,Tushar Behera,0,433
4,Most Valuable Players of the 1994 FIFA World Cup,2018-11-30 09:46:29,Football,Amrinder Singh Mallhi,0,477
5,Most Valuable Players of the 2006 FIFA World Cup,2018-11-30 10:34:58,Football,Kinshuk Lahiri,0,163
6,The best individual goals of the 2014 FIFA World Cup,2018-12-03 07:16:54,Football,Gurvinder Singh,0,161
7,The best individual moments from the 1994 FIFA World Cup,2018-11-30 09:50:06,Football,Avneet Singh,0,292
8,The best individual moments from the 2002 FIFA World Cup,2018-11-30 10:21:35,Football,chander,0,216
9,The best individual goals from the 2010 FIFA World Cup,2018-11-30 12:17:37,Football,Sai Nitya,0,159
10,Most Valuable Players of the 2010 FIFA World Cup,2018-11-30 12:15:02,Football,Kaustabh,0,162
11,The best individual moments from the 1998 FIFA World Cup,2018-11-30 10:25:31,Football,Jagjit Singh,0,172
12,The best individual moments from the 2006 FIFA World Cup,2018-11-30 12:12:31,Football,Pardeep Sharma,0,219
13,Most Valuable Players of the 2014 FIFA World Cup,2018-11-30 12:20:19,Football,shubhpreet,0,263
14,Most Valuable Players of the 2002 FIFA World Cup,2018-11-30 09:43:21,Football,Manpreet Singh,0,436
15,The ten greatest football legends in history,2018-12-03 07:21:12,Football,Selveena,0,620
16,The five greatest golfers in history,2018-12-03 07:26:25,Golf,Goomauny Suraj,0,266
17,The best men's tennis players of all time,2018-12-03 07:29:01,Tennis,Hans,0,422
18,The greatest field hockey legends of all time,2018-12-03 07:31:37,Hockey,Srinivasan Alagendran,0,1153
27,The 2017-18 La Liga Team of the Season,2018-12-07 06:44:28,Football,Michael Serres,0,388
35,Most memorable one-hit wonders in men's tennis history,2018-12-13 14:01:54,Tennis,Devang Prasad,0,357
